"","(Intercept)_lm","V1_lm","V2_lm","V3_lm","V4_lm","V5_lm","V6_lm","V7_lm","V8_lm","(Intercept)_lasso","V1_lasso","V2_lasso","V3_lasso","V4_lasso","V5_lasso","V6_lasso","V7_lasso","V8_lasso","V1_lasso_diff","V2_lasso_diff","V3_lasso_diff","V4_lasso_diff","V5_lasso_diff","V6_lasso_diff","V7_lasso_diff","V8_lasso_diff","(Intercept)_lasso_diff"
"my_estimates",-2.31516188450348,-0.560007246676705,6.33683162139957,-0.753615307255366,5.0445667197439,5.04511754416285,4.95843798474058,0.258695639314149,-0.108896248568984,3.8510043,0,4.5427157,0.1851697,4.7959077,4.9365831,4.9335864,0,0,0.04752018,4.68949114,0,4.71072773,4.92164399,4.95412087,0,0,4.90400671
"my_estimates.1",-1.05330399625434,-1.27211945376877,6.51558327449828,-1.17185373524416,5.09763838882419,4.96255824207672,4.96857081522577,-0.136765656735061,0.708393967223074,5.16912753389633,0,4.73835965138648,0.0507242354094672,4.63185557553265,4.94353281661833,4.93346949608128,0,0,0.0536942467320247,4.76298998011676,0,4.77327684453596,4.96282731331438,4.91524733440087,0,0,4.17092190454384
"my_estimates.2",5.23309101406024,0.391825604603302,3.31047277811399,1.61924199955494,4.6165718657704,5.0723453235144,5.01461761523308,0.107386804566421,-0.436586486500725,2.93292894959264,0.0850477600076751,4.73074395097384,0,4.87695233168916,4.88261041651022,4.94989707141985,0,0,0,4.83747829857883,0,4.87563737958867,4.9167289578661,4.93005955846935,0,0,2.82520444545093
"my_estimates.3",0.594881190600502,-0.279717306978578,4.23019028504076,0.745102218689949,5.14965727188559,5.0004118278865,5.00019544746235,-0.0652788401186026,-0.0935685309504359,3.36412066850595,0,4.52074657439277,0.277364875783084,4.85333456533708,4.97426269942566,4.92579691692782,0,0,0,4.59823015974858,0.253461710668537,4.82677049116789,4.93387763609414,4.92060408662814,0,0,3.20115841771509
"my_estimates.4",-6.45840052390905,0.399058701342934,4.32606439789208,0.965931966472536,5.76704012778954,5.05575688686656,5.00913124310398,-0.422217954811741,-0.695303159456583,3.61274565252388,0,4.72444538223712,0.0573191902873451,4.81425156078852,4.97272166163295,4.91003781700881,0,0,0,4.691532748548,0,4.68725680624129,4.89736059435049,4.94524604651084,0,0,5.40840144699951
"my_estimates.5",2.63443380489973,-0.342663086689663,4.98604380497226,-0.182942255674509,4.83417254693996,4.97675197926397,5.02284652813451,0.0898650114720216,0.135140731918189,4.71435967277006,0,4.76655002325215,0,4.70531953259713,4.92738439575193,4.96095185779254,0,0,0,4.73295260252103,0,4.75869827885158,4.94508338747984,4.97132693693158,0,0,4.33231227773578
"my_estimates.6",-10.8302053182053,0.136303026684546,7.01407803448271,-1.91372089575447,5.26590790073257,5.10069822533401,5.03033058917321,0.219764667015933,1.07345830061335,3.96413839433685,0,4.49188121336297,0.323761670913141,4.79420832773721,4.91851197252527,4.89696305277071,0,0,0,4.72895713742332,0,4.90178719311999,4.93007068947904,4.93728223135032,0,0,2.98994342108579
"my_estimates.7",-0.537655521295347,-0.0918701694393238,5.70289205925402,-0.363669529201453,4.86480397766024,5.00934958459552,5.06994654366392,0.222751135250147,-0.359784521360827,3.19961299038876,0,4.70092734033143,0,4.87898563540755,4.93549955935896,4.95074833776606,0,0,0,4.7647930776493,0,4.65006558787877,4.90315132774706,4.89969717967335,0,0,5.82602753952333
"my_estimates.8",12.0415495750321,0.386379084129514,3.59336979772576,0.923957237516811,4.64196974538485,5.02357988111693,4.95847968795115,-0.496619061790701,-1.10204236902043,2.3617620942412,0,4.91285656734316,0,4.87111543190407,4.9414396167282,4.93869738452468,0,0,0,4.76797955050391,0,4.81116397334347,4.86764014644354,4.93259645119147,0,0,4.16802565731828
"my_estimates.9",0.848951600654937,1.05140191064949,2.89698525176122,1.11725910094618,4.72292368260818,5.09914509662515,5.05033441544835,0.0736163864344246,0.38413714735828,3.16310400225392,0,4.74703610356688,0,4.86788290693336,4.92211457285547,4.95822778874703,0,0,0,4.7652681197617,0,4.68166865432087,4.90441667594469,4.93030279926444,0,-0.129217690145384,6.14861829022782
