"","X","X.Intercept.","V1","V2","V3","V4","V5","V6","V7","V8"
"61","...61",3.91238537170922,0,4.70491267155609,0,4.8728000575146,4.91021259412891,4.88973426707886,0,0
"62","...62",4.01001544935119,0,4.78259975257749,0,4.80943515674641,4.93181434918341,4.90461615606663,0,0
"63","...63",5.10533136127716,0.00255109270768456,4.77360096184686,0,4.72197421243852,4.89885516761624,4.91931859092891,0,0
"64","...64",7.04011446391478,0.082822054295825,4.54838978085366,0,4.59103055452477,4.94531194373822,4.92539566791214,0,0
"65","...65",5.40197981289153,0,4.50096014396403,0,4.83850946770409,4.89608235854081,4.92396049703785,0,0
"66","...66",5.68193409898173,0,4.28823648898008,0.338118943566718,4.66382934783724,4.89149812099677,4.98496127742585,0,0
"67","...67",5.87245060239656,0,4.60671930189786,0,4.67937453233487,4.89796904393212,4.93289892626421,0,0
"68","...68",5.86562674231929,0,4.65382194646653,0,4.6480424287762,4.95075134429306,4.93676083305481,0,0
"69","...69",6.41971637153272,0,4.59898296549476,0,4.65345940065341,4.8797777651651,4.90966213310249,0,0
"70","...70",4.80020543576949,0.157879092564083,4.5954199814175,0,4.74465253655659,4.9550874660174,4.93878463275877,0,0
"71","...71",4.88452007151106,0,4.61954582599988,0,4.79504109137648,4.91001249927412,4.91960173110728,0,0
"72","...72",4.51271742078911,0.0704156990959182,4.72480612867764,0,4.74376717500149,4.91908772608497,4.90123693721607,0,0
"73","...73",5.13270784627384,0,4.76412587347229,0,4.69355268651249,4.96316595530798,4.91003179956536,0,0
"74","...74",1.11846662679486,0.0227736517901944,4.92005820832646,0,5.00198406996498,4.91965410791962,4.92066354994913,0,0
"75","...75",5.96144745118381,0.0573538278742067,4.52052696804649,0.112574988594292,4.67113994470036,4.90128361602079,4.9383050602594,0,0
"76","...76",3.60582401159616,0,4.82833152656784,0,4.81627842882512,4.90363150771769,4.94052964074713,0,0
"77","...77",3.63815526163893,0.0152498507164678,4.87479292008683,0,4.75688558968362,4.9190126491216,4.94988535759695,0,0
"78","...78",3.69797432563552,0.194966603188578,4.6398143203974,0,4.79495994358133,4.94753120787788,4.9569849609178,0,0
"79","...79",5.25614418754764,0,4.79465639206664,0,4.65855148259229,4.88530242545082,4.96121358054731,0,0
"80","...80",6.56924875773192,0,4.68984365996103,0,4.57481693028034,4.88901536074682,4.91994788126893,0,0
"81","...81",4.84376859516248,0,4.75630103340049,0.0129720183999647,4.72375378294601,4.92285717881259,4.91769305317752,0,0
"82","...82",5.09424098598401,0,4.68616817641095,0,4.74209308089751,4.92618745079152,4.93302766836658,0,0
"83","...83",5.15756266654506,0,4.70650086468093,0,4.68577135120384,4.9434842392966,4.91665514453545,0,0
"84","...84",2.81984329296075,0,4.83088774494216,0,4.84627758544342,4.94341681132,4.94190214027607,0,0
